Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Users	Authorized Computers	Authorized Local Principals	Local User Owner	PolicyAppId	Application Package	
Blur LAN Launcher - Inbound		All	Yes	Allow	No	Blur.exe	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking Diagnostics - ICMP Echo Request (ICMPv4-In)	Core Networking Diagnostics	Domain	Yes	Allow	No	System	Any	Any	ICMPv4	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking Diagnostics - ICMP Echo Request (ICMPv4-In)	Core Networking Diagnostics	Private, Public	Yes	Allow	No	System	Any	Local subnet	ICMPv4	Any	Any	Any	Any	Any	Any	None	Any	
File and Printer Sharing (Echo Request - ICMPv4-In)	File and Printer Sharing	Private	Yes	Allow	No	System	Any	Local subnet	ICMPv4	Any	Any	Any	Any	Any	Any	None	Any	
File and Printer Sharing (Echo Request - ICMPv4-In)	File and Printer Sharing	Domain	Yes	Allow	No	System	Any	Any	ICMPv4	Any	Any	Any	Any	Any	Any	None	Any	
File and Printer Sharing (Echo Request - ICMPv4-In)	File and Printer Sharing	Public	Yes	Allow	No	System	Any	Local subnet	ICMPv4	Any	Any	Any	Any	Any	Any	None	Any	
File and Printer Sharing (Restrictive) (Echo Request - ICMPv4-In)	File and Printer Sharing (Restrictive)	Domain, Private	Yes	Allow	No	System	Any	Any	ICMPv4	Any	Any	Any	Any	Any	Any	None	Any	
File and Printer Sharing (Restrictive) (Echo Request - ICMPv4-In)	File and Printer Sharing (Restrictive)	Public	Yes	Allow	No	System	Any	Any	ICMPv4	Any	Any	Any	Any	Any	Any	None	Any	
Core Networking - Destination Unreachable Fragmentation Needed (ICMPv4-In)	Core Networking	All	Yes	Allow	No	System	Any	Any	ICMPv4	Any	Any	Any	Any	Any	Any	None	Any	
